ano_tri,y_br,inf,int,grm1
1994-4.0,80.2770758663747,0.05681958014499999,2157.273650793651,7.874550837960616
1995-1.0,82.0212753930547,0.04381354084000022,54.89327868852461,-0.43077665130235593
1995-2.0,76.2794641995209,0.05400181039999996,61.89704918032795,-1.7167257888027363
1995-3.0,73.718768585687,0.03558895999999989,53.30046874999998,3.0055660281403167
1995-4.0,75.1293460552503,0.018372792592999954,48.26983870967743,6.596790675637077
1996-1.0,74.6640310808508,0.027892439288000004,30.99950000000001,-0.259539044275348
1996-2.0,76.332141366434,0.03640939471999993,27.762539682539682,1.4319762541760703
1996-3.0,79.6449498634169,0.012214170000000024,25.68515625,1.6553059959575782
1996-4.0,80.3560916167444,0.013850214207999922,25.710923076923084,-0.3042320472028314
1997-1.0,80.6838606553152,0.03189912977600007,23.892741935483887,13.870454798760596
1997-2.0,80.5521677380323,0.0159801238999997,23.44822580645162,1.7766775428041834
1997-3.0,82.4134276356304,0.006402587875999899,21.255,0.8907403700483938
1997-4.0,80.7219052758636,0.018709144717999893,31.503593749999997,0.3850980423428539
1998-1.0,79.3903435566699,0.011322464047999858,31.051833333333324,1.7791890415062364
1998-2.0,80.9794380918834,0.003799801628000088,25.441428571428574,2.0042246044742598
1998-3.0,80.4029157651117,-0.0038000000000000256,27.679692307692317,0.4290517127145986
1998-4.0,76.9057371839328,0.007679965292000102,33.811967213114755,-0.6116717090129682
1999-1.0,76.9174432210246,0.07732752988000002,33.34160714285715,1.6002897468491302
1999-2.0,78.6645692569776,0.007067349596000083,27.074375000000007,0.029860335410106947
1999-3.0,78.9864852770024,0.04578081908499976,22.554328358208945,1.3488737717116166
1999-4.0,81.2252648708115,0.057527711491,22.47190476190476,2.56679791273369
2000-1.0,81.2311178893574,0.01394119488400003,18.46435483870968,0.8849017686271604
2000-2.0,83.4289263533451,0.01738319100300001,17.99629032258065,1.4615683687217667
2000-3.0,84.9419316474619,0.04839567810799994,16.989047619047625,1.9557510370689197
2000-4.0,86.8822072954297,0.015272299668000144,16.925396825396835,1.7573725518820524
2001-1.0,87.2246088803652,0.01638319328000004,16.091864406779663,2.390641980006794
2001-2.0,86.4842020343081,0.03057966591200012,17.05937499999999,0.688436986026276
2001-3.0,85.240435593303,0.0292421140400001,18.255781249999984,0.40370812751749385
2001-4.0,82.940199304762,0.024050178360000007,18.41269841269839,-0.18141400023904883
2002-1.0,87.2373612258006,0.004807493762000181,18.821147540983606,2.775226241837467
2002-2.0,87.3474630700064,0.035893991980000095,18.604461538461546,3.320022485309083
2002-3.0,87.3107624552711,0.07216081231999993,18.23171875000001,3.21944737180018
2002-4.0,88.0814753647124,0.1327385232799998,20.768730158730165,0.7940774933659274
2003-1.0,87.78787044683,0.055174917498000076,24.76523809523807,-0.6653304610079599
2003-2.0,86.429947701624,0.0040999999999999925,25.13366666666665,-0.16074966093539445
2003-3.0,87.0171575373888,0.014731569800000122,23.243906249999974,-0.47935975608410164
2003-4.0,90.1000091751537,0.015276446719999948,20.251818181818173,1.8505255693149245
2004-1.0,92.1919442150656,0.028362043520000046,16.234262295081965,2.446964850806513
2004-2.0,94.3939810991834,0.03950675590999997,15.948906249999991,1.8013968824436002
2004-3.0,96.3391136801541,0.029567656832000244,16.052424242424244,1.3267250021704367
2004-4.0,96.6694192127718,0.01881388599200018,16.785081967213124,0.16657962095189136
2005-1.0,96.9997247453895,0.017285600679999957,18.805573770491804,1.9871037237996632
2005-2.0,98.7613542526838,0.0051000000000001044,19.421269841269847,0.794932063118145
2005-3.0,97.7337370400954,-0.0040000000000000036,19.47515625000001,0.5125865427377967
2005-4.0,97.8438388843013,0.0103275245529999,18.819047619047616,0.6312551673199597
2006-1.0,100.155977612625,0.007200000000000095,16.518852459016383,1.6701567507987374
2006-2.0,100.633085604184,0.010727565092000013,15.470161290322563,1.3363770319968082
2006-3.0,100.302780071566,0.008220906728000132,14.872968749999995,1.5789757534522268
2006-4.0,101.36709789889,0.016482170042000144,14.29177419354839,1.8313991418273432
2007-1.0,103.312230479861,0.008824431757999962,12.597288135593205,1.2654755427782536
2007-2.0,106.211579043949,0.005610045824000043,12.183999999999983,2.1042855322122698
2007-3.0,106.98229195339,0.029557951731000287,11.664603174603162,1.835011160897709
2007-4.0,108.964125149096,0.033044507624999886,11.501746031746022,3.69501936463438
2008-1.0,110.615652812185,0.020833783340000078,11.633015873015868,-1.5354187344619774
2008-2.0,111.753371868979,0.04968153958400001,12.007333333333323,0.7463452018791811
2008-3.0,113.184695843655,0.011200000000000099,12.683846153846146,0.5761231479823448
2008-4.0,102.211212037802,0.011607629999999869,13.139696969696963,0.37941561998243856
2009-1.0,95.8620056885953,9.999999999998899e-05,11.4245,-0.05367448161756583
2009-2.0,99.4219653179191,0.002200720000000045,10.269365079365084,1.4078128142815307
2009-3.0,103.569134783008,-0.0030195244000000843,9.290303030303019,0.8944221069525587
2009-4.0,108.376915313332,0.0002997199999998923,9.192459016393432,1.6657889203196434
2010-1.0,111.643270024773,0.02754308356699986,9.130175438596492,1.5413167850080993
2010-2.0,113.221396458391,0.02649128433600012,9.53781249999999,1.1733920791897676
2010-3.0,111.863473713185,0.024369666199999696,10.240149253731344,1.52753558351529
2010-4.0,112.340581704744,0.030162538411999895,10.289206349206351,0.7371695977350897
2011-1.0,114.469217359391,0.02571299388800008,11.420322580645156,0.26964030950700196
2011-2.0,113.77190567942,0.005100499999999952,11.844838709677411,0.07712666170258799
2011-3.0,112.046976786861,0.0131389271250002,11.983281249999996,-0.0023183394077109787
2011-4.0,110.689054041655,0.008317200000000025,11.429206349206334,0.07158033477752333
2012-1.0,108.376915313332,0.009322831759999817,9.6767213114754,0.4950604989600973
2012-2.0,108.78062207542,0.02642663045800009,8.704769230769223,0.9852770390517476
2012-3.0,111.459766951096,0.037345085504000064,8.073225806451603,1.0778187748556347
2012-4.0,111.533168180567,0.005988238849999883,7.710634920634914,1.437755623023751
2013-1.0,111.27626387742,0.00822202922000037,7.506065573770491,0.46445950808968
2013-2.0,113.258097073126,0.010217825408000092,7.8204615384615295,1.208446804974937
2013-3.0,113.331498302597,0.01968812758399996,8.345624999999991,0.36290590506333764
2013-4.0,111.753371868979,0.01608055171599987,9.085238095238086,0.5796319060986407
2014-1.0,111.166162033214,0.027519503199999962,10.586507936507925,0.43878475709194964
2014-2.0,108.266813469126,0.0044999999999999485,10.887499999999989,-0.374415657728004
2014-3.0,108.927424534361,-0.00470428066000006,10.86921874999999,0.6445785092363386
2014-4.0,107.789705477567,0.021233255588000155,11.085606060606048,0.3903246060673203
2015-1.0,105.147261216625,0.024281139671000096,12.675423728813547,-0.12244667798393598
2015-2.0,101.44049912836,0.02012681024000007,13.19112903225805,-0.6533687648407341
2015-3.0,98.3943481053308,0.024162689439999996,13.748484848484834,-0.8061884315435419
2015-4.0,95.1279933938894,0.03424016153599996,13.856349206349192,-0.021210146783228634
2016-1.0,94.1370767960364,0.02772114974099993,14.124999999999988,0.26055529915019265
2016-2.0,93.9168731076246,0.03148421308400007,14.130468749999986,0.20714797736053073
2016-3.0,93.0360583539774,0.0006833449690000215,14.114843749999986,0.5093679093305247
2016-4.0,92.852555280301,0.010115595395000065,13.94365079365078,0.3189934249892021
2017-1.0,95.2747958528306,0.00490257999999999,11.801639344262282,0.3806540015099749
2017-2.0,95.0178915496835,-0.012399999999999967,10.557258064516116,0.31268229526063396
2017-3.0,96.0088081475365,0.005589035359999883,9.478124999999988,0.4031582815876484
2017-4.0,98.2842462611249,0.01647465920000002,8.54516129032257,0.6732472179144406
2018-1.0,98.1374438021837,0.012949628720000161,6.628813559322029,0.8641982372384467
2018-2.0,95.5684007707129,0.04103513729600006,6.4384615384615325,0.7608950106776501
2018-3.0,97.3667308927425,0.029330935567999816,6.442968749999994,0.9165949676533001
2018-4.0,96.5226167538306,0.0025999999999999357,6.428225806451608,-0.035132557524772345
2019-1.0,96.0822093770071,0.02405008362499972,6.246774193548381,0.320400581428223
2019-2.0,95.7886044591247,0.01941812679999977,6.198387096774187,0.14770588975585727
2019-3.0,95.3481970823011,-9.999999999998899e-05,5.985937499999994,0.974523247700266
2019-4.0,96.0088081475365,0.031691163450000115,5.346153846153841,1.3317779882640624
