DATE,MANMM101BRM657S
1994-09-01,19.5481425030644
1994-10-01,12.6719076788972
1994-11-01,6.43096311073185
1994-12-01,4.5207817242528
1995-01-01,-2.60450492109785
1995-02-01,1.25758376390074
1995-03-01,0.0545912032900426
1995-04-01,-5.72573171865056
1995-05-01,-1.30974842685286
1995-06-01,1.88530277909521
1995-07-01,5.38289404251466
1995-08-01,2.04923126586089
1995-09-01,1.5845727760454
1995-10-01,4.95096425307347
1995-11-01,7.67359178495899
1995-12-01,7.16581598887877
1996-01-01,-0.056243257589824
1996-02-01,-2.38300673684424
1996-03-01,1.66063286160802
1996-04-01,2.61500393738907
1996-05-01,1.61735876740923
1996-06-01,0.0635660577299113
1996-07-01,0.847651977080915
1996-08-01,1.51705172924815
1996-09-01,2.60121428154367
1996-10-01,-0.469728422712274
1996-11-01,-1.65549877923516
1996-12-01,1.21253106033894
1997-01-01,13.787354615385
1997-02-01,18.7181502152061
1997-03-01,9.10585956569069
1997-04-01,2.38820350126793
1997-05-01,1.165576502556
1997-06-01,1.77625262458862
1997-07-01,-1.38589074575627
1997-08-01,0.781632223685291
1997-09-01,3.27647963221616
1997-10-01,2.66485462865567
1997-11-01,0.228555442008842
1997-12-01,-1.73811594363595
1998-01-01,0.403757834514909
1998-02-01,2.64168838544881
1998-03-01,2.29212090455499
1998-04-01,1.8518695052599
1998-05-01,2.28715833334282
1998-06-01,1.87364597482006
1998-07-01,1.44335797263738
1998-08-01,0.56428268884694
1998-09-01,-0.720485523340524
1998-10-01,-0.889571772112195
1998-11-01,1.37242580287163
1998-12-01,-2.31786915779834
1999-01-01,1.30266142649772
1999-02-01,4.60993672283205
1999-03-01,-1.11172890878238
1999-04-01,-1.51877970582327
1999-05-01,-0.291857093007359
1999-06-01,1.90021780506095
1999-07-01,3.59967426158212
1999-08-01,1.76712661342186
1999-09-01,-1.32017955986913
1999-10-01,1.28554276432485
1999-11-01,3.60207097501896
1999-12-01,2.81277999885726
2000-01-01,2.07674894188696
2000-02-01,0.0575054243579392
2000-03-01,0.520450939636582
2000-04-01,1.88097641784036
2000-05-01,1.38067361334328
2000-06-01,1.12305507498166
2000-07-01,2.18166073287327
2000-08-01,1.78134065764789
2000-09-01,1.9042517206856
2000-10-01,3.05176671891058
2000-11-01,1.91674229749439
2000-12-01,0.303608639241188
2001-01-01,0.851217455215321
2001-02-01,3.74531790262963
2001-03-01,2.57539058217543
2001-04-01,0.579551392533498
2001-05-01,1.22600647601631
2001-06-01,0.25975308952902
2001-07-01,0.0203633145464106
2001-08-01,0.974067383632923
2001-09-01,0.216693684373148
2001-10-01,-0.0551795981677106
2001-11-01,0.413254931170506
2001-12-01,-0.902317333719942
2002-01-01,2.64780845143651
2002-02-01,3.84131175038602
2002-03-01,1.83655852368987
2002-04-01,3.51328845572964
2002-05-01,3.08250528494984
2002-06-01,3.36427371524777
2002-07-01,4.64631871974222
2002-08-01,3.99275373014031
2002-09-01,1.01926966551801
2002-10-01,1.50720190906094
2002-11-01,1.64933327418524
2002-12-01,-0.774302703148398
2003-01-01,-0.619083036286659
2003-02-01,-0.504268164449533
2003-03-01,-0.872640182287688
2003-04-01,-0.498896531257155
2003-05-01,-0.0601173470784616
2003-06-01,0.0767648955294332
2003-07-01,0.199144159526605
2003-08-01,-0.20698210546269
2003-09-01,-1.43024132231622
2003-10-01,0.560289143695033
2003-11-01,2.81796546874857
2003-12-01,2.17332209550117
2004-01-01,2.44397837723632
2004-02-01,2.56265276990834
2004-03-01,2.33426340527488
2004-04-01,2.24657490136571
2004-05-01,1.92083239679078
2004-06-01,1.23678334917431
2004-07-01,1.06709502003154
2004-08-01,1.31977585820616
2004-09-01,1.59330412827361
2004-10-01,1.35968128301409
2004-11-01,0.159895833521774
2004-12-01,-1.01983825368019
2005-01-01,1.85628695555938
2005-02-01,2.9217783943849
2005-03-01,1.18324582145471
2005-04-01,0.678983959324158
2005-05-01,0.421109145258377
2005-06-01,1.2847030847719
2005-07-01,0.848770793934653
2005-08-01,0.248162429500613
2005-09-01,0.440826404778124
2005-10-01,0.135459580151807
2005-11-01,0.762532704820494
2005-12-01,0.995773216987578
2006-01-01,0.829301781391913
2006-02-01,2.44178044822771
2006-03-01,1.73938802277659
2006-04-01,0.509979407213254
2006-05-01,1.98279546437807
2006-06-01,1.5163562243991
2006-07-01,0.997562999669761
2006-08-01,1.9691509097637
2006-09-01,1.77021335092322
2006-10-01,1.9497495403428
2006-11-01,1.91233086150248
2006-12-01,1.63211702363675
2007-01-01,1.3934144729872
2007-02-01,0.950297168964531
2007-03-01,1.45271498638303
2007-04-01,2.0948111022425
2007-05-01,1.98402803022253
2007-06-01,2.23401746417178
2007-07-01,2.39189175057273
2007-08-01,2.22474497846604
2007-09-01,0.888396753654357
2007-10-01,1.57218384139207
2007-11-01,2.51510478258399
2007-12-01,6.99776946992708
2008-01-01,1.07659170994633
2008-02-01,-5.20458796962436
2008-03-01,-0.478259943707902
2008-04-01,1.81334737964923
2008-05-01,1.05337249619815
2008-06-01,-0.627684270209837
2008-07-01,0.735855738132589
2008-08-01,0.430426112416558
2008-09-01,0.562087593397887
2008-10-01,0.283227005746822
2008-11-01,-0.376733528450886
2008-12-01,1.23175338265138
2009-01-01,0.0781175523035091
2009-02-01,-0.309875413808087
2009-03-01,0.0707344166518804
2009-04-01,0.968695107894132
2009-05-01,1.97221964348641
2009-06-01,1.28252369146405
2009-07-01,0.943820158785243
2009-08-01,0.574092414055843
2009-09-01,1.16535374801659
2009-10-01,1.25397841860179
2009-11-01,1.32617179515699
2009-12-01,2.41721654720015
2010-01-01,2.08142401369923
2010-02-01,0.896195704039208
2010-03-01,1.64633063728586
2010-04-01,1.52585745973851
2010-05-01,1.06205520248406
2010-06-01,0.932263575346733
2010-07-01,1.17330421973683
2010-08-01,1.93881445173248
2010-09-01,1.47048807907656
2010-10-01,1.01460761755104
2010-11-01,0.856998135570382
2010-12-01,0.339903040083847
2011-01-01,0.33715973372493
2011-02-01,0.473696447667997
2011-03-01,-0.0019352528719211
2011-04-01,-0.335859155732249
2011-05-01,0.025310403774788
2011-06-01,0.541928737065225
2011-07-01,0.80239139192551
2011-08-01,-0.352461727856326
2011-09-01,-0.456884682292317
2011-10-01,0.385897419103468
2011-11-01,0.030228511276276
2011-12-01,-0.201384926047174
2012-01-01,0.188016325158612
2012-02-01,0.665774068671903
2012-03-01,0.631391103049777
2012-04-01,0.977125372070427
2012-05-01,1.07665189824711
2012-06-01,0.902053846837706
2012-07-01,1.22537376997908
2012-08-01,1.15343022901569
2012-09-01,0.854652325572134
2012-10-01,0.751930953810814
2012-11-01,0.931977355238739
2012-12-01,2.6293585600217
2013-01-01,0.750769859966159
2013-02-01,-0.975266290423609
2013-03-01,1.61787495472649
2013-04-01,0.923158331833319
2013-05-01,0.827683453090862
2013-06-01,1.87449863000063
2013-07-01,0.607614548847771
2013-08-01,0.34419850229672
2013-09-01,0.136904664045522
2013-10-01,-0.263706859067958
2013-11-01,0.73332958822359
2013-12-01,1.26927298914029
2014-01-01,0.552778272757957
2014-02-01,0.66065171573359
2014-03-01,0.102924282784302
2014-04-01,-0.137844554385615
2014-05-01,-0.285234387734914
2014-06-01,-0.700168031063483
2014-07-01,0.22288311971119
2014-08-01,0.752653134372553
2014-09-01,0.958199273625273
2014-10-01,0.720617872683956
2014-11-01,0.338937794963899
2014-12-01,0.111418150554106
2015-01-01,0.1733717909336
2015-02-01,-0.13289774874217
2015-03-01,-0.407814076143238
2015-04-01,-0.879156780910746
2015-05-01,-0.785950117685098
2015-06-01,-0.294999395926358
2015-07-01,-0.559603173968483
2015-08-01,-0.612111608876413
2015-09-01,-1.24685051178573
2015-10-01,-0.28542018536022
2015-11-01,0.613622669007609
2015-12-01,-0.391832923997075
2016-01-01,0.6632286677847
2016-02-01,0.759006008711538
2016-03-01,-0.64056877904566
2016-04-01,0.138704601091084
2016-05-01,0.468423279308117
2016-06-01,0.0143160516823911
2016-07-01,0.174419651105072
2016-08-01,0.452210920391297
2016-09-01,0.901473156495205
2016-10-01,0.759976171849547
2016-11-01,0.0668610102206293
2016-12-01,0.13014309289743
2017-01-01,-0.15674248158334
2017-02-01,0.9463372481852
2017-03-01,0.352367237928065
2017-04-01,-0.754408684448877
2017-05-01,0.567928112624889
2017-06-01,1.12452745760589
2017-07-01,1.40468826357679
2017-08-01,0.211351488045635
2017-09-01,-0.40656490685948
2017-10-01,0.101816017006516
2017-11-01,0.656983645713166
2017-12-01,1.26094199102364
2018-01-01,0.892619558044696
2018-02-01,0.503708610964574
2018-03-01,1.19626654270607
2018-04-01,1.2783479495548
2018-05-01,0.741389940818978
2018-06-01,0.262947141659172
2018-07-01,0.20111003103572
2018-08-01,1.46256445726921
2018-09-01,1.08611041465497
2018-10-01,-0.430144133427827
2018-11-01,-0.145472909976901
2018-12-01,0.470219370830411
2019-01-01,0.370748787922383
2019-02-01,0.269453004902541
2019-03-01,0.320999951459745
2019-04-01,0.0631711449631614
2019-05-01,-0.0558107979451766
2019-06-01,0.435757322249587
2019-07-01,0.608383372210562
2019-08-01,0.932183606996966
2019-09-01,1.38300276389327
2019-10-01,0.726293154222797
2019-11-01,1.18728456530065
2019-12-01,2.08175624526874
2020-01-01,1.21122234581635
2020-02-01,1.1356698009525
2020-03-01,2.46317314658295
2020-04-01,5.56210228611832
2020-05-01,7.65795936592989
2020-06-01,6.26296142679385
